Training model...
Loss value: 1.1520863083045767
Loss value: 1.1704681427383914
Loss value: 1.1149209003178753
Loss value: 1.0875565497039017
Loss value: 1.0637459042453417
Loss value: 1.1018915490917018
Loss value: 1.079161129789191
Loss value: 1.0322992292854036
Loss value: 1.0997834961696051
Loss value: 1.1351099729256136
Loss value: 1.0315908418436897
Loss value: 1.0559571833668606
Loss value: 1.0439597039591924
Loss value: 1.088932963956422
Loss value: 1.0249430611757602
Loss value: 1.021134798511434
Loss value: 0.9893011001075106
Loss value: 0.9807275005748887
Loss value: 0.9337805167802522
Loss value: 0.8996150712334188
Loss value: 0.874378468150786
Loss value: 0.9483873422441608
Loss value: 0.8843014494254336
Loss value: 0.8709825331567446
Loss value: 0.8742518415404446
Loss value: 0.8635795984042868
Loss value: 0.875800983908721
Loss value: 0.8897699929504471
Loss value: 0.8837695038023154
Loss value: 0.8653335396433726
Loss value: 0.8663145626368229
Loss value: 0.8653532953802282
Loss value: 0.8651660909600118
Loss value: 0.8702029524503798
Loss value: 0.8652131144964358
Loss value: 0.8605103481741313
Loss value: 0.8582739854090408
Loss value: 0.8511610552646839
Loss value: 0.846520354257941
Loss value: 0.8466435645067002
Loss value: 0.8445003687097283
Loss value: 0.8411900275169859
Loss value: 0.8403117086048283
Loss value: 0.841090749858396
Loss value: 0.8330611755428929
Loss value: 0.8268636119640373
Loss value: 0.8256802921332307
Loss value: 0.8251075004581212
Loss value: 0.8257942492602267
Loss value: 0.8252961203770002
Loss value: 0.8223642344533928
Loss value: 0.82087522313674
Loss value: 0.8218855326782072
Loss value: 0.8220384921290764
Loss value: 0.8214482328987293
Loss value: 0.8237334008072447
Loss value: 0.8209959602912241
Loss value: 0.8241577986758973
Loss value: 0.8199473790513584
Loss value: 0.8203435145571107
Loss value: 0.8206576602806678
Loss value: 0.8195872338042943
Loss value: 0.8214666604537482
Loss value: 0.8213389210612068
Loss value: 0.8223520920030527
Loss value: 0.822567516906642
Loss value: 0.8221848438245516
Loss value: 0.8198381000475187
Loss value: 0.8208693517432132
Loss value: 0.8218616680093062
Loss value: 0.8220412086697315
Loss value: 0.8217468281622846
Loss value: 0.8209213320159773
Loss value: 0.8209654230500735
Loss value: 0.8215549678018955
Loss value: 0.820584847717119
Loss value: 0.8215164424902862
Loss value: 0.8208323420950158
Loss value: 0.820849001450562
Loss value: 0.8210442806561614
Loss value: 0.8221843106057795
Loss value: 0.8226749426817274
Loss value: 0.8223879046472642
Loss value: 0.8211697263893457
Loss value: 0.8217461518494287
Loss value: 0.8213260098279704
Loss value: 0.8200504756564287
Loss value: 0.8214523190161784
Loss value: 0.8231933028831351
Loss value: 0.820415478920993
Loss value: 0.8209648417943525
Loss value: 0.8240048303220959
Loss value: 0.8193629509249896
Loss value: 0.8212830195960834
Loss value: 0.8221060606649816
Loss value: 0.8211384703033313
Loss value: 0.8218442476001414
Loss value: 0.8219873625797993
Loss value: 0.8196221464060847
Loss value: 0.819266003540443
Loss value: 0.8204044978068141
Loss value: 0.8204727311643072
Loss value: 0.8213588572143808
Loss value: 0.8224544221340865
Loss value: 0.8226492900094554
--------------------
Optimal parameter Theta: [0.86968641 5.90612308 6.27161127 3.18838198 3.82421385 2.51230121
 7.07735547 4.64364202]
--------------------
Training duration: 13min51.29s
--------------------
Compute the accuracy...
Acurracy of the Iris circuit: 78.66400000000002%
