
Training model...
Loss value: 1.402573374681396
Loss value: 1.4014962809653178
Loss value: 1.3971131160344055
Loss value: 1.3984909877892366
Loss value: 1.384176282521152
Loss value: 1.3882655853916581
Loss value: 1.3908446606900666
Loss value: 1.4143411542803752
Loss value: 1.4032548316189652
Loss value: 1.396130179107551
Loss value: 1.3922724245852818
Loss value: 1.3843282008918194
Loss value: 1.3845153685543452
Loss value: 1.3781361354389483
Loss value: 1.3675032278652968
Training model...
Loss value: 1.3950505132765145
Loss value: 1.3744385810913584
Loss value: 1.3844427081156252
Loss value: 1.405463522656331
Loss value: 1.4043600269339016
Loss value: 1.3892018075067722
Loss value: 1.3643685650830912
Loss value: 1.376882324057844
Loss value: 1.3866783507718061
Loss value: 1.3521977084805143
Loss value: 1.3707654482965215
Loss value: 1.3521732674392768
Loss value: 1.3521993858011456
Loss value: 1.3946781172870335
Loss value: 1.3642987919383058
Loss value: 1.3458360978153336
Loss value: 1.3488350152219175
Loss value: 1.350031171036086
Loss value: 1.3429324178472462
Loss value: 1.3417370810621487
Loss value: 1.344367650066374
Loss value: 1.339590147265431
Loss value: 1.350588712773572
Loss value: 1.3424794688312387
Loss value: 1.3348943278483798
Loss value: 1.3357808462554264
Loss value: 1.334833113109287
Loss value: 1.3330355870958117
Loss value: 1.3330445284798744
Loss value: 1.3409898771115965
Loss value: 1.3351762068058
Loss value: 1.3435078263732343
Loss value: 1.3320423455633106
Loss value: 1.3331285586426456
Loss value: 1.3343191967135102
Loss value: 1.3362941659150394
Loss value: 1.3298226064422363
Loss value: 1.3290438157087041
Loss value: 1.3316818938483812
Loss value: 1.3290367368367857
Loss value: 1.3269443199692135
Loss value: 1.3262232665421028
Loss value: 1.3266095593955103
Loss value: 1.3269219305112279
Loss value: 1.3262104234409644
Loss value: 1.3257049677809996
Loss value: 1.325721120689639
Loss value: 1.3280177729253806
Loss value: 1.3272721981698463
Loss value: 1.325697996447331
Loss value: 1.3244424503217278
Loss value: 1.3244636635142002
Loss value: 1.3243668783409814
Loss value: 1.3252301001855482
Loss value: 1.3252444454140757
Loss value: 1.3233847131376075
Loss value: 1.3238153310484104
Loss value: 1.3243412503250092
Loss value: 1.321348542200617
Loss value: 1.3222535264363338
Loss value: 1.3213287239983988
Loss value: 1.3218170992938072
Loss value: 1.3226135987281307
Loss value: 1.323804877376589
Loss value: 1.3195834017195696
Loss value: 1.3181126956148832
Loss value: 1.318881804853806
Loss value: 1.3167467431810667
Loss value: 1.3170475028706083
Loss value: 1.31939925695882
Loss value: 1.3137652014347077
Loss value: 1.3141693976987985
Loss value: 1.3141908352109524
Loss value: 1.3127597080501316
Loss value: 1.31276364083059
Loss value: 1.3069199737136938
Loss value: 1.3061034226148216
Loss value: 1.3040341699213105
Loss value: 1.3067165806663517
Loss value: 1.3058057389335826
Loss value: 1.2982119539381887
Loss value: 1.3015944695904238
Loss value: 1.2993845996927742
Loss value: 1.3006042609194488
Loss value: 1.301346766006964
Loss value: 1.296543559965536
Loss value: 1.2955755567930882
Loss value: 1.2924190302390102
Loss value: 1.2922286214768954
Loss value: 1.2887858505899734
Loss value: 1.2828370532559015
Loss value: 1.2823426779892826
Loss value: 1.2828487711093262
Loss value: 1.2869824445956528
Loss value: 1.281298739550802
Loss value: 1.2757375916565592
Loss value: 1.2738674232004168
Loss value: 1.2713919628753307
Loss value: 1.2690808779939604
Loss value: 1.2681779367474115
Loss value: 1.2779512098785901
Loss value: 1.270375503367809
Loss value: 1.2683500232805516
Loss value: 1.2713832814784658
Loss value: 1.261215415203623
Loss value: 1.2631429352221837
Loss value: 1.2615534516648288
Loss value: 1.2635399912534622
Loss value: 1.2601692443428285
Loss value: 1.256680663996113
Loss value: 1.2567143199008675
Loss value: 1.2568886654185603
Loss value: 1.2582535147755276
Loss value: 1.2575018371317308
Loss value: 1.258700562899025
Loss value: 1.2563569665852965
Loss value: 1.2566506472922232
Loss value: 1.2576997188401746
Loss value: 1.2585650352852624
Loss value: 1.2589168199240004
Loss value: 1.2559841858218992
Loss value: 1.2559980997202247
Loss value: 1.255233684070785
Loss value: 1.255846680659926
Loss value: 1.2563805404223376
Loss value: 1.2543222480667628
Loss value: 1.2534323259598685
Loss value: 1.2540371078379082
Loss value: 1.252574702636066
Loss value: 1.2528834050048185
Loss value: 1.2537104400063397
Loss value: 1.2524053280023464
Loss value: 1.2520877050766872
Loss value: 1.252585377924341
Loss value: 1.2525746828284094
Loss value: 1.2527657202640112
Loss value: 1.2519474116346552
Loss value: 1.2518376752153606
Loss value: 1.2519137665209081
Loss value: 1.2515804002080373
Loss value: 1.2511047579015615
Loss value: 1.2518785224167084
Loss value: 1.2520911172972105
Loss value: 1.2507496324107756
Loss value: 1.251586221994798
Loss value: 1.2507440266133756
Loss value: 1.2507427041120072
Loss value: 1.2505047539632015
Loss value: 1.2515090417336612
Loss value: 1.2507025225138344
Loss value: 1.2504800669634286
Loss value: 1.250520426824251
Loss value: 1.2520518506129847
Loss value: 1.2505271908689328
Loss value: 1.2505327149315966
Loss value: 1.250701181362214
Loss value: 1.2504885713710134
Loss value: 1.2505765809180907
Loss value: 1.2505570957751555
Loss value: 1.2505806051098156
Loss value: 1.2506843382239183
Loss value: 1.250515668134142
Loss value: 1.2507854446102031
Loss value: 1.2503688115003762
Loss value: 1.2503478780235047
Loss value: 1.2503843629374836
Loss value: 1.2503468384682583
Loss value: 1.250368224992736
Loss value: 1.2502748852151224
Loss value: 1.2503129117130978
Loss value: 1.2503107144304217
Loss value: 1.2502223615922214
Loss value: 1.250282408321345
Loss value: 1.2502142867207413
Loss value: 1.2502862708829188
Loss value: 1.2500986208148945
Loss value: 1.2501610041403908
Loss value: 1.2501503490779051
Loss value: 1.250236674982834
Loss value: 1.2501663703963553
Loss value: 1.2502647305888939
Loss value: 1.2501628467689807
Loss value: 1.2500394093901515
Loss value: 1.2500436591375865
Loss value: 1.2499182557336663
Loss value: 1.249897657287562
Loss value: 1.2499425274767837
Loss value: 1.2499208078646973
Loss value: 1.249970467192374
Loss value: 1.2498557672136503
Loss value: 1.2499422240258822
Loss value: 1.2498108543478887
Loss value: 1.2498360421433814
Loss value: 1.2498433514267744
Loss value: 1.249851870072652
Loss value: 1.249909302933907
Loss value: 1.2499726214538829
Loss value: 1.2498297715622972
Loss value: 1.2498867477731717
Loss value: 1.249809316942177
Loss value: 1.2498207059009334
Loss value: 1.2497848020857827
Loss value: 1.249796018732242
Loss value: 1.2498564179832883
Loss value: 1.2498472765639208
Loss value: 1.249811683123489
Loss value: 1.2498122870784318
Loss value: 1.2498756810139784
Loss value: 1.2498542112864321
Loss value: 1.2498035614514629
Loss value: 1.2498350262099367
Loss value: 1.2498153128456209
Loss value: 1.24987592805118
Loss value: 1.2498110799244595
Loss value: 1.2498294159161476
Loss value: 1.249827783094485
Loss value: 1.2498772746737843
Loss value: 1.2498100979031121
Loss value: 1.249790177944203
Loss value: 1.2498975109829717
Loss value: 1.2498666588627751
Loss value: 1.2498660386640714
Loss value: 1.2498144658092907
Loss value: 1.2498639228827693
Loss value: 1.2498053170474495
Loss value: 1.2498792503014637
Loss value: 1.2497917824750884
Loss value: 1.2498401560183534
Loss value: 1.2498570579622963
Loss value: 1.249874238232256
Loss value: 1.2498858259595722
Loss value: 1.249831766617098
Loss value: 1.249876072400461
Loss value: 1.249840362766485
Loss value: 1.2498670845258175
Loss value: 1.2498573667765995
Loss value: 1.24981253504123
Loss value: 1.2497996898387844
Loss value: 1.2498214320303964
Loss value: 1.2498450833724346
Loss value: 1.2498492415085962
Loss value: 1.2498289989812763
Loss value: 1.2497946643773894
Loss value: 1.2498052113183298
Loss value: 1.2498050574524102
Loss value: 1.2498173375701327
Loss value: 1.2498107892840409
Loss value: 1.2498811093310993
Loss value: 1.2498594383538135
Loss value: 1.249878749263724
Loss value: 1.2498175826396598
Loss value: 1.2498154528098815
Loss value: 1.2498716200565454
Loss value: 1.2498174835717242
Loss value: 1.2498815040445568
Loss value: 1.2498421006454234
Loss value: 1.2498285100096218
--------------------
Optimal parameter Theta: [ 3.49300291  1.39756486  4.31164388  3.53888573 -0.88876982  2.86667324
  4.21457787  7.17589579  2.59931181  2.30232946  5.04903389  1.8641352 ]
--------------------
Training duration: 910min59.22s
--------------------
Compute the accuracy...
Acurracy of the Quaternary circuit: 33.365%
