Training model...
Loss value: 3.7003988141549287
Loss value: 2.8828604182522795
Loss value: 3.020544747298163
Loss value: 2.7268260806300373
Loss value: 3.140556486801292
Loss value: 2.8812590640297753
Loss value: 1.7487542501681825
Loss value: 1.402085831402252
Loss value: 1.5990234979648827
Loss value: 1.4058958542138427
Loss value: 2.06514017881636
Loss value: 1.4520900565861412
Loss value: 1.4009683557112533
Loss value: 1.3837274958364885
Loss value: 1.362527328654483
Loss value: 1.4347247819522622
Loss value: 1.4007801520499608
Loss value: 1.4428089245334397
Loss value: 1.3651999217288544
Loss value: 1.3037970312523202
Loss value: 1.2752978661761976
Loss value: 1.2881637087104916
Loss value: 1.2856994494395286
Loss value: 1.4935882322666998
Loss value: 1.2522288419171426
Loss value: 1.2474582422949128
Loss value: 1.2623568161331187
Loss value: 1.291118955995129
Loss value: 1.2491411875663718
Loss value: 1.2615950182496605
Loss value: 1.2494620769411884
Loss value: 1.2443461252802357
Loss value: 1.2269169530770163
Loss value: 1.2267821895486062
Loss value: 1.2660064167264682
Loss value: 1.2440892535249448
Loss value: 1.2250466217806162
Loss value: 1.217121437571725
Loss value: 1.2420980413945077
Loss value: 1.2205699152509373
Loss value: 1.212000719341913
Loss value: 1.1959309305946788
Loss value: 1.1913429853759032
Loss value: 1.193819219794774
Loss value: 1.19972626420619
Loss value: 1.1818848899252865
Loss value: 1.1837106979925591
Loss value: 1.1846581318592333
Loss value: 1.1810029150191554
Loss value: 1.1845009968300906
Loss value: 1.1816386502903318
Loss value: 1.181399206640417
Loss value: 1.1801226976232373
Loss value: 1.1850780778791665
Loss value: 1.1792295806582296
Loss value: 1.177404772605719
Loss value: 1.177011300362942
Loss value: 1.1751815613649903
Loss value: 1.1748002090586807
Loss value: 1.173659166417501
Loss value: 1.1752635339450945
Loss value: 1.174136425388699
Loss value: 1.1722267024655089
Loss value: 1.171393218350341
Loss value: 1.171756138014983
Loss value: 1.1704815769976662
Loss value: 1.170778881873188
Loss value: 1.1701043041400405
Loss value: 1.170077803740454
Loss value: 1.170497641863532
Loss value: 1.1699507722117102
Loss value: 1.1698509834953523
Loss value: 1.1692898113609789
Loss value: 1.170116394764577
Loss value: 1.1690360715176102
Loss value: 1.1691144482181914
Loss value: 1.1705974450933192
Loss value: 1.170364694982827
Loss value: 1.1688579756308481
Loss value: 1.1694981082438543
Loss value: 1.1700462194690902
Loss value: 1.1696949871660816
Loss value: 1.1688367186814852
Loss value: 1.1681015848195966
Loss value: 1.1693105231972276
Loss value: 1.1691094606763446
Loss value: 1.1680668477725085
Loss value: 1.1680942615919354
Loss value: 1.168755108494694
Loss value: 1.1680772030883866
Loss value: 1.1672527854762178
Loss value: 1.1663807353958535
Loss value: 1.1702089170555652
Loss value: 1.1682736662393036
Loss value: 1.16704241265984
Loss value: 1.1692411869848063
Loss value: 1.1685634577021806
Loss value: 1.1680736349544196
Loss value: 1.1693292161512874
Loss value: 1.1695495054202456
Loss value: 1.168952764508395
Loss value: 1.1689525143628992
Loss value: 1.1681477398845945
Loss value: 1.1677357869243736
Loss value: 1.1682962907215888
Loss value: 1.168942843525105
Loss value: 1.1681155159025196
Loss value: 1.1687715292771703
Loss value: 1.1681192323362157
Loss value: 1.1681684585136123
Loss value: 1.1687805256521573
Loss value: 1.1692211160169144
Loss value: 1.1680109551896325
Loss value: 1.1681525754997293
Loss value: 1.169169369804739
Loss value: 1.1683684367412668
Loss value: 1.1693323513977285
Loss value: 1.1684163059847368
Loss value: 1.168288770685632
Loss value: 1.1684968602036596
Loss value: 1.1688558356098824
--------------------
Optimal parameter Theta: [ 3.93303319  3.85728269  1.83315748 -0.51698108  7.5499673   3.32115335]
--------------------
Training duration: 68min54.79s
